Temperature,Humidity,Datetime
30.50,72.00,2020/7/5 07:52:23
30.50,72.00,2020/7/5 07:52:27
30.50,72.00,2020/7/5 07:52:31
30.50,72.00,2020/7/5 07:52:35
30.50,72.00,2020/7/5 07:52:39
30.50,72.00,2020/7/5 07:52:44
30.50,72.00,2020/7/5 07:52:48
30.50,72.00,2020/7/5 07:52:52
30.50,72.00,2020/7/5 07:52:56
30.50,72.00,2020/7/5 07:53:01
30.50,72.00,2020/7/5 07:53:05
30.50,72.00,2020/7/5 07:53:09
30.50,72.00,2020/7/5 07:53:13
30.50,72.00,2020/7/5 07:53:17
30.50,72.00,2020/7/5 07:53:21
30.50,72.00,2020/7/5 07:53:26
30.50,72.00,2020/7/5 07:53:30
30.50,72.00,2020/7/5 07:53:34
30.50,72.00,2020/7/5 07:53:38
30.50,72.00,2020/7/5 07:53:43
30.50,72.00,2020/7/5 07:53:47
30.50,72.00,2020/7/5 07:53:51
30.50,72.00,2020/7/5 07:53:55
30.50,72.00,2020/7/5 07:54:00
30.50,72.00,2020/7/5 07:54:04
30.50,72.00,2020/7/5 07:54:08
30.50,72.00,2020/7/5 07:54:13
30.50,72.00,2020/7/5 07:54:17
30.50,72.00,2020/7/5 07:54:21
30.50,72.00,2020/7/5 07:54:25
30.50,72.00,2020/7/5 07:54:30
30.50,72.00,2020/7/5 07:54:34
30.50,72.00,2020/7/5 07:54:38
30.50,72.00,2020/7/5 07:54:43
30.50,72.00,2020/7/5 07:54:47
30.50,72.00,2020/7/5 07:54:51
30.50,72.00,2020/7/5 07:54:55
30.50,72.00,2020/7/5 07:55:00
30.50,72.00,2020/7/5 07:55:04
30.50,72.00,2020/7/5 07:55:09
30.50,72.00,2020/7/5 07:55:14
30.50,72.00,2020/7/5 07:55:18
30.50,72.00,2020/7/5 07:55:22
30.50,72.00,2020/7/5 07:55:26
30.50,72.00,2020/7/5 07:55:31
30.50,72.00,2020/7/5 07:55:35
30.50,72.00,2020/7/5 07:55:39
30.50,72.00,2020/7/5 07:55:43
30.50,72.00,2020/7/5 07:55:47
30.50,72.00,2020/7/5 07:55:52
30.50,72.00,2020/7/5 07:55:56
30.50,72.00,2020/7/5 07:56:00
30.50,72.00,2020/7/5 07:56:04
30.50,72.00,2020/7/5 07:56:09
30.50,72.00,2020/7/5 07:56:13
30.50,72.00,2020/7/5 07:56:18
30.50,72.00,2020/7/5 07:56:22
30.50,72.00,2020/7/5 07:56:26
30.50,72.00,2020/7/5 07:56:30
30.50,72.00,2020/7/5 07:56:35
30.50,72.00,2020/7/5 07:56:39
30.50,72.00,2020/7/5 07:56:43
30.50,72.00,2020/7/5 07:56:47
30.50,72.00,2020/7/5 07:56:51
30.50,72.00,2020/7/5 07:56:56
30.50,72.00,2020/7/5 07:57:00
30.50,72.00,2020/7/5 07:57:04
30.50,72.00,2020/7/5 07:57:08
30.50,72.00,2020/7/5 07:57:13
30.50,72.00,2020/7/5 07:57:17
30.50,72.00,2020/7/5 07:57:22
30.50,72.00,2020/7/5 07:57:26
30.50,72.00,2020/7/5 07:57:30
30.50,72.00,2020/7/5 07:57:34
30.50,72.00,2020/7/5 07:57:39
30.50,72.00,2020/7/5 07:57:43
30.50,72.00,2020/7/5 07:57:47
30.50,72.00,2020/7/5 07:57:51
30.50,72.00,2020/7/5 07:57:55
30.50,72.00,2020/7/5 07:58:00
30.50,72.00,2020/7/5 07:58:04
30.50,72.00,2020/7/5 07:58:08
30.50,72.00,2020/7/5 07:58:12
30.50,72.00,2020/7/5 07:58:17
30.50,72.00,2020/7/5 07:58:21
30.50,72.00,2020/7/5 07:58:26
30.50,72.00,2020/7/5 07:58:30
30.50,72.00,2020/7/5 07:58:34
30.50,72.00,2020/7/5 07:58:38
30.50,72.00,2020/7/5 07:58:43
30.50,72.00,2020/7/5 07:58:47
30.50,72.00,2020/7/5 07:58:51
30.50,72.00,2020/7/5 07:58:55
30.50,72.00,2020/7/5 07:59:00
30.50,72.00,2020/7/5 07:59:04
30.50,72.00,2020/7/5 07:59:08
30.50,72.00,2020/7/5 07:59:12
30.50,72.00,2020/7/5 07:59:17
30.50,72.00,2020/7/5 07:59:21
30.50,72.00,2020/7/5 07:59:25
30.50,72.00,2020/7/5 07:59:30
30.50,72.00,2020/7/5 07:59:34
30.50,72.00,2020/7/5 07:59:38
30.50,72.00,2020/7/5 07:59:42
30.50,72.00,2020/7/5 07:59:47
30.50,72.00,2020/7/5 07:59:51
30.50,72.00,2020/7/5 07:59:55
30.50,72.00,2020/7/5 07:59:59
30.50,72.00,2020/7/5 08:00:03
30.50,72.00,2020/7/5 08:00:08
30.50,72.00,2020/7/5 08:00:12
30.50,72.00,2020/7/5 08:00:16
